var,scenario,varBinaryOriginal,varTypeTrans,varStatus,varMayRoundUp,varMayRoundDown,varMayIsActive,varIsDeletable,varIsRemovable,varObj,varPseudoSol,NLocksDown,NLocksUp,IsTransformed,multaggrConstant,varAggrScalar,varAggrConstant,varMultaggrNVars,varBestBound,varWorstBound,varBranchFactor,varBranchPriority,varBranchDirection,varNImpls0,varNImpls1,varGetNCliques0,varGetNCliques1,varConflictScore,varAvgInferenceScore,relaxSolVal,varImplRedcost0,varImplRedcost1,varPseudocostScore,equalToLb,equalToUb,target
x79,1664186792,1,0,3,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,1,1,0,3,0,0,0,0,1.00E-12,1.00E-12,0,1.00E+99,1.00E+99,1,1,0,1
x80,1664186792,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,22,0,18,1,1.00E-12,282,0,1.00E+99,1.00E+99,1,1,0,1
x81,1664186792,1,0,1,0,0,1,0,0,0,0,7,10,1,0,0,0,0,0,1,1,0,3,4,2,0,1,1.00E-12,12,0,1.00E+99,1.00E+99,1,1,0,1
x82,1664186792,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,5,0,1,0,1.00E-12,8.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x83,1664186792,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,2,0,0,0,1.00E-12,2.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x84,1664186792,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1.00E-12,1.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x85,1664186792,1,0,1,0,0,1,0,0,0,0,7,10,1,0,0,0,0,0,1,1,0,3,6,2,2,1,1.00E-12,27,0,1.00E+99,1.00E+99,1,1,0,1
x86,1664186792,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,4,0,2,0,1.00E-12,9.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x87,1664186792,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,2,0,0,0,1.00E-12,2.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x88,1664186792,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,2,0,0,0,1.00E-12,2.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x89,1664186792,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,1,0,0,0,1.00E-12,1.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x90,1664186792,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,2,0,0,0,1.00E-12,2.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
x91,1664186792,1,0,1,0,0,1,0,0,0,0,7,10,1,0,0,0,0,0,1,1,0,3,7,2,2,1,1.00E-12,30,0,1.00E+99,1.00E+99,1,1,0,0
x92,1664186792,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,5,0,2,0,1.00E-12,1.00E-05,0,1.00E+99,1.00E+99,1,1,0,0
x93,1664186792,1,0,1,0,0,1,0,0,0,0,1,2,1,0,0,0,0,0,1,1,0,3,2,0,0,0,1.00E-12,2.00E-06,0,1.00E+99,1.00E+99,1,1,0,1
